,Raga,Arohanam,Avarohanam
294,Vasanthamanohari,S R2 G2 M1 D1 N3 S,S N3 D1 M1 G2 R2 S
295,22 Kharaharapriya,S R2 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 R2 S
296,Shree,S R2 M1 P N2 S,S N2 P D2 N2 P M1 R2 G2 R2 S
297,Andolika,S R2 M1 P N2 S,S N2 D2 M1 R2 S
298,Abheri,S G2 M1 P N2 S,S N2 D2 P M1 G2 R2 S
299,Abhogi,S R2 G2 M1 D2 S,S D2 M1 G2 R2 S
300,Adi Kapi,S R2 M1 G2 M1 P D2 N2 S,S N2 D2 P M1 G2 R2 S
301,Aryamati,S R2 G2 P D2 S,S N2 D2 P D2 M1 G2 R2 S
302,Agnikopa,S G2 M1 P N2 S,S N2 P M1 G2 R2 S
303,Balachandrika,S G2 M1 P D2 N2 S,S N2 D2 M1 G2 R2 S
